,date,normal,episode
0,2018-12-20,0.99844056,0.0015594246
1,2018-12-21,0.99792147,0.002078549
2,2018-12-22,0.99766475,0.002335266
3,2018-12-23,0.9979584,0.0020415927
4,2018-12-24,0.9972136,0.0027863877
5,2018-12-25,0.9982503,0.0017497086
6,2018-12-26,0.99800617,0.0019938233
7,2018-12-27,0.9977398,0.0022602354
8,2018-12-28,0.99801755,0.0019824593
9,2018-12-29,0.99759877,0.0024012579
10,2018-12-30,0.99762815,0.0023718681
11,2018-12-31,0.9984344,0.001565581
12,2019-01-01,0.99803853,0.0019614468
13,2019-01-02,0.99827504,0.0017249302
14,2019-01-03,0.99821776,0.0017822566
15,2019-01-04,0.99823755,0.001762471
16,2019-01-05,0.99795234,0.0020476808
17,2019-01-06,0.9983198,0.0016802178
18,2019-01-07,0.99795073,0.002049292
19,2019-01-08,0.99807894,0.0019210579
20,2019-01-09,0.9977548,0.0022451847
21,2019-01-10,0.99848735,0.0015126646
22,2019-01-11,0.99802136,0.0019786535
23,2019-01-12,0.9982252,0.0017747984
24,2019-01-13,0.9980703,0.0019297143
25,2019-01-14,0.9978751,0.0021249186
26,2019-01-15,0.99810433,0.0018956889
27,2019-01-16,0.99788177,0.002118253
28,2019-01-17,0.99798703,0.0020129632
29,2019-01-18,0.9975275,0.0024725362
30,2019-01-19,0.9983493,0.001650663
31,2019-01-20,0.99818677,0.0018132059
32,2019-01-21,0.9978257,0.0021743134
33,2019-01-22,0.99790853,0.0020914953
34,2019-01-23,0.99764615,0.0023538677
35,2019-01-24,0.99825835,0.0017416541
36,2019-01-25,0.99825215,0.0017478307
37,2019-01-26,0.9976464,0.0023536168
38,2019-01-27,0.9980115,0.001988499
39,2019-01-28,0.99783766,0.002162355
40,2019-01-29,0.99809635,0.0019036379
41,2019-01-30,0.9980559,0.0019441148
42,2019-01-31,0.997955,0.0020449988
43,2019-02-01,0.9978433,0.0021566767
44,2019-02-02,0.998141,0.0018589912
45,2019-02-03,0.99794143,0.002058573
46,2019-02-04,0.9979113,0.0020887295
47,2019-02-05,0.99783176,0.0021682098
48,2019-02-06,0.9982503,0.0017496946
49,2019-02-07,0.99799615,0.0020038206
50,2019-02-08,0.9984042,0.0015957946
51,2019-02-09,0.99769646,0.0023035663
52,2019-02-10,0.99813235,0.0018676274
53,2019-02-11,0.9982824,0.0017176372
54,2019-02-12,0.9980156,0.0019844114
55,2019-02-13,0.9979844,0.0020155716
56,2019-02-14,0.998577,0.0014230052
57,2019-02-15,0.9973896,0.0026103994
58,2019-02-16,0.9980268,0.0019731882
59,2019-02-17,0.9981085,0.0018914903
60,2019-02-18,0.99787015,0.0021298798
61,2019-02-19,0.9983141,0.001685919
62,2019-02-20,0.99818045,0.0018195309
63,2019-02-21,0.99852824,0.0014717759
64,2019-02-22,0.99800795,0.0019920613
65,2019-02-23,0.99826086,0.0017391639
66,2019-02-24,0.99823534,0.0017646503
67,2019-02-25,0.99786025,0.002139739
68,2019-02-26,0.9980171,0.0019829066
69,2019-02-27,0.99723834,0.0027616536
70,2019-02-28,0.9982048,0.0017951482
71,2019-03-01,0.998163,0.0018370323
72,2019-03-02,0.99818206,0.0018179457
73,2019-03-03,0.9974639,0.002536104
74,2019-03-04,0.9975684,0.002431549
75,2019-03-05,0.9981502,0.001849784
